Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Weight,Variant Weight Unit,Image Src,metafields.wine.varietal,metafields.wine.vintage,metafields.wine.appellation,metafields.wine.region,metafields.wine.country_state,metafields.wine.abv,metafields.wine.body,metafields.wine.style,metafields.wine.tasting_notes,metafields.rating.expert_rating,metafields.rating.customer_rating,metafields.rating.review_count,metafields.wine.mix_6_price,metafields.general.source_url,metafields.wine.size,metafields.wine.wine_type
mato-bay-reserve-marlborough-sauvignon-blanc,Mato Bay Reserve Marlborough Sauvignon Blanc,New Zealand - Marlborough - Reserve Sauvignon Blanc with intense tropical fruit flavors and crisp acidity. Classic Kiwi style.,Mato Bay,Wine,White Wine,"Sauvignon Blanc, White Wine, Marlborough, Marlborough",TRUE,Title,Default Title,11.99,233824750-1,shopify,100,1.5,lb,,Sauvignon Blanc,,Marlborough,Marlborough,New Zealand,13.0,Light-bodied,Crisp,"Passionfruit, Citrus",No rating listed,4.3/5,144,$10.79,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/mato-bay-reserve-marlborough-sauvignon-blanc/p/233824750,750ml,White Wine
69-miles-chardonnay-by-rob-lloyd,69 Miles Chardonnay by Rob Lloyd,California - Expert Pick Rob Lloyd Chardonnay with tropical fruit flavors and oak integration. Rich and full-bodied style.,69 Miles,Wine,White Wine,"Chardonnay, White Wine, California, California",TRUE,Title,Default Title,19.99,178700750-1,shopify,100,1.5,lb,,Chardonnay,,California,California,California,14.5,Full-bodied,Oak,"Tropical, Oak",No rating listed,4.1/5,227,$17.99,https://www.totalwine.com/wine/white-wine/chardonnay/69-miles-chardonnay-by-rob-lloyd/p/178700750,750ml,White Wine
whispering-angel-cotes-de-provence-rose,Whispering Angel Cotes de Provence Rose,France - Cotes de Provence - The original premium Provence rose with delicate strawberry and citrus flavors. Light and refreshing with elegant minerality.,Whispering Angel,Wine,Rose Wine,"Rose Blend, Rose Wine, Provence, Cotes de Provence",TRUE,Title,Default Title,23.99,WHIS001-1,shopify,100,1.5,lb,,Rose Blend,,Cotes de Provence,Provence,France,12.5,Light-bodied,Dry,"Strawberry, Peach, Citrus",92 • Wine Spectator,4.3/5,1250,$21.59,https://www.totalwine.com/wine/rose-wine/whispering-angel-cotes-de-provence-rose,750ml,Rose Wine
la-crema-pinot-noir-rose-sonoma-coast,La Crema Pinot Noir Rose Sonoma Coast,California - Sonoma Coast - Premium Pinot Noir rose with bright strawberry and cherry flavors. Crisp and elegant with good structure.,La Crema,Wine,Rose Wine,"Pinot Noir, Rose Wine, Sonoma Coast, Sonoma Coast",TRUE,Title,Default Title,18.99,LACR001-1,shopify,100,1.5,lb,,Pinot Noir,,Sonoma Coast,Sonoma Coast,California,13.0,Light-bodied,Dry,"Strawberry, Cherry, Watermelon",90 • Wine Enthusiast,4.2/5,324,$17.09,https://www.totalwine.com/wine/rose-wine/la-crema-pinot-noir-rose-sonoma-coast,750ml,Rose Wine
miraval-cotes-de-provence-rose,Miraval Cotes de Provence Rose,France - Cotes de Provence - Jolie-Pitt family rose with peach and grapefruit flavors and herbal notes. Classic Provence style with mineral finish.,Miraval,Wine,Rose Wine,"Rose Blend, Rose Wine, Provence, Cotes de Provence",TRUE,Title,Default Title,24.99,MIRA001-1,shopify,100,1.5,lb,,Rose Blend,,Cotes de Provence,Provence,France,12.5,Light-bodied,Dry,"Peach, Grapefruit, Herbs",91 • James Suckling,4.1/5,567,$22.49,https://www.totalwine.com/wine/rose-wine/miraval-cotes-de-provence-rose,750ml,Rose Wine
beringer-white-zinfandel,Beringer White Zinfandel,California - Classic American White Zinfandel with sweet strawberry and watermelon flavors. Perfect for casual sipping.,Beringer,Wine,Rose Wine,"White Zinfandel, Rose Wine, California, California",TRUE,Title,Default Title,7.99,BERI001-1,shopify,100,1.5,lb,,White Zinfandel,,California,California,California,10.5,Light-bodied,Sweet,"Strawberry, Watermelon",No rating listed,4.0/5,1890,$7.19,https://www.totalwine.com/wine/rose-wine/beringer-white-zinfandel,750ml,Rose Wine
caves-desclans-whispering-angel-rose,Caves d'Esclans Whispering Angel Rose,France - Provence - Premium Provence rose with red fruit and citrus flavors and distinctive mineral character. Elegant and sophisticated.,Caves d'Esclans,Wine,Rose Wine,"Grenache Blend, Rose Wine, Provence, Cotes de Provence",TRUE,Title,Default Title,23.99,CAVE001-1,shopify,100,1.5,lb,,Grenache Blend,,Cotes de Provence,Provence,France,13.0,Light-bodied,Dry,"Red Fruit, Citrus, Mineral",93 • Wine Advocate,4.4/5,892,$21.59,https://www.totalwine.com/wine/rose-wine/caves-esclans-whispering-angel-rose,750ml,Rose Wine
kendall-jackson-vintners-reserve-rose,Kendall-Jackson Vintner's Reserve Rose,"California - Premium California rose with strawberry, peach, and spice flavors. Well-structured with good complexity.",Kendall-Jackson,Wine,Rose Wine,"Rose Blend, Rose Wine, California, California",TRUE,Title,Default Title,16.99,KEND001-1,shopify,100,1.5,lb,,Rose Blend,,California,California,California,13.5,Medium-bodied,Dry,"Strawberry, Peach, Spice",88 • Wine Spectator,4.2/5,445,$15.29,https://www.totalwine.com/wine/rose-wine/kendall-jackson-vintners-reserve-rose,750ml,Rose Wine
chateau-desclans-rock-angel-rose,Chateau d'Esclans Rock Angel Rose,France - Provence - Ultra-premium Provence rose with intense strawberry and grapefruit flavors. Complex and age-worthy.,Chateau d'Esclans,Wine,Rose Wine,"Grenache Blend, Rose Wine, Provence, Cotes de Provence",TRUE,Title,Default Title,34.99,ROCK001-1,shopify,100,1.5,lb,,Grenache Blend,,Cotes de Provence,Provence,France,13.0,Light-bodied,Dry,"Strawberry, Grapefruit, Herbs",94 • Wine Advocate,4.3/5,234,$31.49,https://www.totalwine.com/wine/rose-wine/chateau-esclans-rock-angel-rose,750ml,Rose Wine
sutter-home-white-zinfandel,Sutter Home White Zinfandel,California - America's favorite White Zinfandel with sweet cherry and strawberry flavors. Easy-drinking and approachable.,Sutter Home,Wine,Rose Wine,"White Zinfandel, Rose Wine, California, California",TRUE,Title,Default Title,6.99,SUTT001-1,shopify,100,1.5,lb,,White Zinfandel,,California,California,California,9.5,Light-bodied,Sweet,"Cherry, Strawberry",No rating listed,3.9/5,2100,$6.29,https://www.totalwine.com/wine/rose-wine/sutter-home-white-zinfandel,750ml,Rose Wine
minuty-m-de-minuty-rose,Minuty M de Minuty Rose,"France - Provence - Classic Provence rose with grapefruit, peach and herbal notes. Crisp and refreshing with mineral finish.",Minuty,Wine,Rose Wine,"Grenache Blend, Rose Wine, Provence, Cotes de Provence",TRUE,Title,Default Title,21.99,MINU001-1,shopify,100,1.5,lb,,Grenache Blend,,Cotes de Provence,Provence,France,12.5,Light-bodied,Dry,"Grapefruit, Peach, Herbs",91 • Wine Spectator,4.2/5,378,$19.79,https://www.totalwine.com/wine/rose-wine/minuty-m-de-minuty-rose,750ml,Rose Wine
josh-cellars-rose,Josh Cellars Rose,"California - Fresh and fruity rose with watermelon, strawberry and citrus flavors. Light and easy-drinking.",Josh Cellars,Wine,Rose Wine,"Rose Blend, Rose Wine, California, California",TRUE,Title,Default Title,12.99,JOSH001-1,shopify,100,1.5,lb,,Rose Blend,,California,California,California,13.0,Light-bodied,Dry,"Watermelon, Strawberry, Citrus",No rating listed,4.1/5,687,$11.69,https://www.totalwine.com/wine/rose-wine/josh-cellars-rose,750ml,Rose Wine
oyster-bay-rose,Oyster Bay Rose,"New Zealand - Marlborough - Pinot Noir rose with cherry, strawberry and citrus flavors. Clean and crisp Kiwi style.",Oyster Bay,Wine,Rose Wine,"Pinot Noir, Rose Wine, Marlborough, Marlborough",TRUE,Title,Default Title,11.99,OYST001-1,shopify,100,1.5,lb,,Pinot Noir,,Marlborough,Marlborough,New Zealand,12.5,Light-bodied,Dry,"Cherry, Strawberry, Citrus",No rating listed,4.2/5,456,$10.79,https://www.totalwine.com/wine/rose-wine/oyster-bay-rose,750ml,Rose Wine
campo-viejo-rose-tempranillo,Campo Viejo Rose Tempranillo,"Spain - Rioja - Spanish Tempranillo rose with cherry, strawberry and spice flavors. Dry and refreshing.",Campo Viejo,Wine,Rose Wine,"Tempranillo, Rose Wine, Rioja, Rioja",TRUE,Title,Default Title,10.99,CAMP001-1,shopify,100,1.5,lb,,Tempranillo,,Rioja,Rioja,Spain,12.5,Light-bodied,Dry,"Cherry, Strawberry, Spice",No rating listed,4.0/5,234,$9.89,https://www.totalwine.com/wine/rose-wine/campo-viejo-rose-tempranillo,750ml,Rose Wine
bogle-rose,Bogle Rose,"California - Fresh and vibrant rose with strawberry, watermelon and peach flavors. Well-balanced and food-friendly.",Bogle,Wine,Rose Wine,"Rose Blend, Rose Wine, California, California",TRUE,Title,Default Title,11.99,BOGL001-1,shopify,100,1.5,lb,,Rose Blend,,California,California,California,13.0,Light-bodied,Dry,"Strawberry, Watermelon, Peach",No rating listed,4.3/5,123,$10.79,https://www.totalwine.com/wine/rose-wine/bogle-rose,750ml,Rose Wine
chateau-ste-michelle-rose,Chateau Ste. Michelle Rose,"Washington - Columbia Valley - Washington State rose with cherry, watermelon and citrus flavors. Clean and refreshing.",Chateau Ste. Michelle,Wine,Rose Wine,"Rose Blend, Rose Wine, Columbia Valley, Columbia Valley",TRUE,Title,Default Title,10.99,STMI001-1,shopify,100,1.5,lb,,Rose Blend,,Columbia Valley,Columbia Valley,Washington,12.5,Light-bodied,Dry,"Cherry, Watermelon, Citrus",No rating listed,4.0/5,289,$9.89,https://www.totalwine.com/wine/rose-wine/chateau-ste-michelle-rose,750ml,Rose Wine
gerard-depardieu-rose,Gerard Depardieu Rose,"France - Loire Valley - Anjou rose with berry, floral and mineral notes. Elegant French style with good structure.",Gerard Depardieu,Wine,Rose Wine,"Cabernet Franc, Rose Wine, Loire, Anjou",TRUE,Title,Default Title,13.99,GERA001-1,shopify,100,1.5,lb,,Cabernet Franc,,Anjou,Loire,France,12.0,Light-bodied,Dry,"Berry, Floral, Mineral",No rating listed,4.1/5,167,$12.59,https://www.totalwine.com/wine/rose-wine/gerard-depardieu-rose,750ml,Rose Wine
mateus-rose-original,Mateus Rose Original,"Portugal - Vinho Verde - Classic Portuguese rose with berry, citrus and floral flavors. Slightly sweet and refreshing.",Mateus,Wine,Rose Wine,"Rose Blend, Rose Wine, Vinho Verde, Vinho Verde",TRUE,Title,Default Title,9.99,MATE001-1,shopify,100,1.5,lb,,Rose Blend,,Vinho Verde,Vinho Verde,Portugal,11.0,Light-bodied,Semi-Sweet,"Berry, Citrus, Floral",No rating listed,3.8/5,567,$8.99,https://www.totalwine.com/wine/rose-wine/mateus-rose-original,750ml,Rose Wine
angeline-rose,Angeline Rose,"California - Fresh and fruity rose with strawberry, watermelon and citrus flavors. Light and easy-drinking.",Angeline,Wine,Rose Wine,"Rose Blend, Rose Wine, California, California",TRUE,Title,Default Title,9.99,ANGE001-1,shopify,100,1.5,lb,,Rose Blend,,California,California,California,12.5,Light-bodied,Dry,"Strawberry, Watermelon, Citrus",No rating listed,4.2/5,234,$8.99,https://www.totalwine.com/wine/rose-wine/angeline-rose,750ml,Rose Wine
santa-margherita-rose,Santa Margherita Rose,"Italy - Veneto - Italian Merlot rose with cherry, strawberry and herbal notes. Elegant and food-friendly.",Santa Margherita,Wine,Rose Wine,"Merlot, Rose Wine, Veneto, Veneto",TRUE,Title,Default Title,15.99,SANT001-1,shopify,100,1.5,lb,,Merlot,,Veneto,Veneto,Italy,12.0,Light-bodied,Dry,"Cherry, Strawberry, Herb",No rating listed,4.3/5,189,$14.39,https://www.totalwine.com/wine/rose-wine/santa-margherita-rose,750ml,Rose Wine
cloudy-bay-pinot-noir-rose,Cloudy Bay Pinot Noir Rose,"New Zealand - Marlborough - Premium Pinot Noir rose with strawberry, cherry and spice flavors. Complex and well-structured.",Cloudy Bay,Wine,Rose Wine,"Pinot Noir, Rose Wine, Marlborough, Marlborough",TRUE,Title,Default Title,26.99,CLOU001-1,shopify,100,1.5,lb,,Pinot Noir,,Marlborough,Marlborough,New Zealand,13.0,Light-bodied,Dry,"Strawberry, Cherry, Spice",91 • Wine Spectator,4.4/5,145,$24.29,https://www.totalwine.com/wine/rose-wine/cloudy-bay-pinot-noir-rose,750ml,Rose Wine
banfi-col-di-sasso-rose,Banfi Col di Sasso Rose,"Italy - Tuscany - Sangiovese rose with cherry, strawberry and mineral notes. Classic Italian style.",Banfi,Wine,Rose Wine,"Sangiovese, Rose Wine, Tuscany, Toscana IGT",TRUE,Title,Default Title,12.99,BANF001-1,shopify,100,1.5,lb,,Sangiovese,,Toscana IGT,Tuscany,Italy,12.5,Light-bodied,Dry,"Cherry, Strawberry, Mineral",No rating listed,4.2/5,267,$11.69,https://www.totalwine.com/wine/rose-wine/banfi-col-di-sasso-rose,750ml,Rose Wine
caymus-emmolo-rose,Caymus Emmolo Rose,"California - Napa Valley - Premium Pinot Noir rose from Caymus with strawberry, peach and vanilla flavors. Elegant Napa style.",Caymus,Wine,Rose Wine,"Pinot Noir, Rose Wine, Napa Valley, Napa Valley",TRUE,Title,Default Title,19.99,CAYMU001-1,shopify,100,1.5,lb,,Pinot Noir,,Napa Valley,Napa Valley,California,13.0,Light-bodied,Dry,"Strawberry, Peach, Vanilla",90 • Wine Enthusiast,4.3/5,156,$17.99,https://www.totalwine.com/wine/rose-wine/caymus-emmolo-rose,750ml,Rose Wine
apothic-rose,Apothic Rose,"California - Semi-sweet rose blend with strawberry, peach and spice flavors. Smooth and approachable.",Apothic,Wine,Rose Wine,"Rose Blend, Rose Wine, California, California",TRUE,Title,Default Title,11.99,APOT001-1,shopify,100,1.5,lb,,Rose Blend,,California,California,California,12.5,Light-bodied,Semi-Sweet,"Strawberry, Peach, Spice",No rating listed,4.1/5,567,$10.79,https://www.totalwine.com/wine/rose-wine/apothic-rose,750ml,Rose Wine
bolla-pinot-grigio-rose,Bolla Pinot Grigio Rose,"Italy - Veneto - Pinot Grigio rose with cherry, citrus and floral notes. Light and refreshing Italian style.",Bolla,Wine,Rose Wine,"Pinot Grigio, Rose Wine, Veneto, Delle Venezie",TRUE,Title,Default Title,9.99,BOLL001-1,shopify,100,1.5,lb,,Pinot Grigio,,Delle Venezie,Veneto,Italy,12.0,Light-bodied,Dry,"Cherry, Citrus, Floral",No rating listed,4.1/5,234,$8.99,https://www.totalwine.com/wine/rose-wine/bolla-pinot-grigio-rose,750ml,Rose Wine
studio-by-miraval-rose,Studio by Miraval Rose,"France - Provence - Studio line from Miraval with grapefruit, strawberry and herbal flavors. Fresh Provence style.",Studio,Wine,Rose Wine,"Grenache Blend, Rose Wine, Provence, Cotes de Provence",TRUE,Title,Default Title,16.99,STUD001-1,shopify,100,1.5,lb,,Grenache Blend,,Cotes de Provence,Provence,France,13.0,Light-bodied,Dry,"Grapefruit, Strawberry, Herbs",89 • Wine Spectator,4.0/5,123,$15.29,https://www.totalwine.com/wine/rose-wine/studio-by-miraval-rose,750ml,Rose Wine
19-crimes-rose,19 Crimes Rose,"Australia - South Australia - Australian rose blend with berry, citrus and spice flavors. Bold and distinctive.",19 Crimes,Wine,Rose Wine,"Rose Blend, Rose Wine, South Australia, South Australia",TRUE,Title,Default Title,12.99,NINE001-1,shopify,100,1.5,lb,,Rose Blend,,South Australia,South Australia,Australia,12.5,Light-bodied,Dry,"Berry, Citrus, Spice",No rating listed,4.0/5,345,$11.69,https://www.totalwine.com/wine/rose-wine/19-crimes-rose,750ml,Rose Wine
barefoot-pink-moscato,Barefoot Pink Moscato,"California - Sweet pink Moscato with peach, apricot and honey flavors. Light and refreshing dessert wine.",Barefoot,Wine,Rose Wine,"Moscato, Rose Wine, California, California",TRUE,Title,Default Title,7.99,BARE001-1,shopify,100,1.5,lb,,Moscato,,California,California,California,9.0,Light-bodied,Sweet,"Peach, Apricot, Honey",No rating listed,3.9/5,1234,$7.19,https://www.totalwine.com/wine/rose-wine/barefoot-pink-moscato,750ml,Rose Wine
aix-rose,AIX Rose,"France - Provence - Classic Provence rose with strawberry, grapefruit and mineral flavors. Elegant and sophisticated.",AIX,Wine,Rose Wine,"Grenache Blend, Rose Wine, Provence, Cotes de Provence",TRUE,Title,Default Title,18.99,AIXR001-1,shopify,100,1.5,lb,,Grenache Blend,,Cotes de Provence,Provence,France,13.0,Light-bodied,Dry,"Strawberry, Grapefruit, Mineral",90 • Wine Advocate,4.2/5,456,$17.09,https://www.totalwine.com/wine/rose-wine/aix-rose,750ml,Rose Wine
rombauer-rose-of-carneros,Rombauer Rose of Carneros,"California - Carneros - Premium Pinot Noir rose with strawberry, cherry and spice flavors. Rich and complex Carneros style.",Rombauer,Wine,Rose Wine,"Pinot Noir, Rose Wine, Carneros, Carneros",TRUE,Title,Default Title,24.99,ROMB001-1,shopify,100,1.5,lb,,Pinot Noir,,Carneros,Carneros,California,13.5,Medium-bodied,Dry,"Strawberry, Cherry, Spice",91 • Wine Spectator,4.4/5,89,$22.49,https://www.totalwine.com/wine/rose-wine/rombauer-rose-of-carneros,750ml,Rose Wine
mionetto-pinot-grigio-rose,Mionetto Pinot Grigio Rose,"Italy - Veneto - Pinot Grigio rose with strawberry, pear and floral notes. Crisp and elegant Italian style.",Mionetto,Wine,Rose Wine,"Pinot Grigio, Rose Wine, Veneto, Veneto",TRUE,Title,Default Title,13.99,MION001-1,shopify,100,1.5,lb,,Pinot Grigio,,Veneto,Veneto,Italy,12.0,Light-bodied,Dry,"Strawberry, Pear, Floral",No rating listed,4.1/5,178,$12.59,https://www.totalwine.com/wine/rose-wine/mionetto-pinot-grigio-rose,750ml,Rose Wine
